ligand host complex
11881 -8.5261 -3037.8270 -3099.8539
27081 -8.4703 -3061.2540 -3060.9425
8081 -8.5168 -3044.1893 -3048.9534
24801 -8.5763 -3053.8811 -3045.5427
29361 -8.5025 -3050.8522 -3070.4841
11121 -8.4710 -3048.1525 -3080.6746
17201 -8.5007 -3077.3151 -3088.0350
33921 -8.5570 -3047.5735 -3080.4719
14921 -8.5350 -3038.5679 -3066.0298
39241 -8.5348 -3043.9893 -3098.9572
27841 -8.5259 -3031.7322 -3084.4675
19481 -8.4857 -3040.9036 -3082.6405
25561 -8.4975 -3068.1888 -3067.5073
13401 -8.5217 -3020.8279 -3061.7734
36201 -8.5234 -3050.4105 -3098.6383
4281 -8.5370 -3035.8547 -3070.7088
35441 -8.4780 -3013.5211 -3056.0032
14161 -8.5505 -3060.9477 -3091.0866
5041 -8.4474 -3038.5155 -3093.7620
23281 -8.5084 -3020.1980 -3085.1457
3521 -8.5011 -3046.9659 -3082.7881
15681 -8.5235 -3007.4754 -3108.3331
28601 -8.5712 -3047.9472 -3079.2593
20241 -8.4315 -3050.4014 -3084.6110
34681 -8.5469 -3035.6304 -3066.7901
2001 -8.4996 -3057.4464 -3082.9809
32401 -8.4707 -3061.4016 -3063.8107
10361 -8.4774 -3067.4864 -3063.3675
26321 -8.4305 -3017.3100 -3119.1024
38481 -8.5273 -3072.5460 -3047.6116
30881 -8.4143 -3055.2719 -3070.0325
6561 -8.5633 -3087.6259 -3082.7570
17961 -8.5411 -3032.2972 -3062.7754
2761 -8.5197 -3068.0030 -3075.7855
18721 -8.5255 -3016.9042 -3055.2212
22521 -8.4998 -3010.4375 -3093.8477
24041 -8.4407 -3039.7348 -3077.1743
21761 -8.4528 -3028.7596 -3076.3097
5801 -8.4852 -3048.9709 -3033.7336
8841 -8.5226 -3052.4259 -3101.7556
21001 -8.5947 -3053.9201 -3070.0528
31641 -8.4910 -3051.5211 -3044.1149
12641 -8.5660 -3024.8603 -3039.5240
16441 -8.4707 -3029.5081 -3070.9479
7321 -8.4734 -3031.5705 -3096.8571
36961 -8.4498 -3040.8970 -3054.5619
37721 -8.4575 -3025.3571 -3051.1415
9601 -8.4576 -3066.4438 -3073.8086
30121 -8.5071 -3024.7426 -3085.4607
33161 -8.5214 -3054.5949 -3062.1019
