ligand host complex
11881 -11.3376 -3367.0434 -3430.5301
27081 -11.2445 -3390.2170 -3391.8859
8081 -11.3164 -3372.5269 -3379.5555
24801 -11.3745 -3382.4608 -3375.4710
29361 -11.2984 -3378.5703 -3400.2785
11121 -11.2562 -3375.5937 -3410.6801
17201 -11.2969 -3404.2134 -3418.2066
33921 -11.3840 -3376.3703 -3409.8257
14921 -11.3301 -3366.2207 -3396.1361
39241 -11.3471 -3372.2732 -3428.3768
27841 -11.3218 -3360.7228 -3416.2273
19481 -11.2517 -3368.6443 -3412.2749
25561 -11.2833 -3396.9608 -3399.1817
13401 -11.3166 -3349.3405 -3391.5292
36201 -11.3266 -3379.0477 -3429.8312
4281 -11.3455 -3364.6847 -3401.2579
35441 -11.2680 -3341.9399 -3386.8094
14161 -11.3559 -3388.5031 -3420.5507
5041 -11.2040 -3368.0948 -3424.5817
23281 -11.3070 -3346.9703 -3416.2227
3521 -11.2874 -3376.4135 -3413.5363
15681 -11.3172 -3336.1062 -3437.2697
28601 -11.3848 -3378.2214 -3409.8644
20241 -11.1866 -3379.5789 -3416.5840
34681 -11.3396 -3363.7963 -3397.9654
2001 -11.2811 -3385.5506 -3414.4146
32401 -11.2385 -3390.2208 -3394.1265
10361 -11.2636 -3394.9432 -3394.1385
26321 -11.1762 -3346.0354 -3448.4611
38481 -11.3231 -3399.3480 -3378.3090
30881 -11.1844 -3383.9068 -3399.6045
6561 -11.3840 -3414.9867 -3413.8457
17961 -11.3324 -3360.5233 -3393.8175
2761 -11.3302 -3397.1650 -3406.6270
18721 -11.3185 -3344.8723 -3384.4447
22521 -11.2874 -3340.1068 -3424.7077
24041 -11.2085 -3368.5903 -3408.7079
21761 -11.2066 -3357.7295 -3408.5661
5801 -11.2639 -3376.9074 -3364.4351
8841 -11.3313 -3381.9882 -3430.5454
21001 -11.4195 -3383.0479 -3400.8484
31641 -11.2820 -3381.4433 -3374.6125
12641 -11.3828 -3352.9986 -3371.1241
16441 -11.2554 -3357.2713 -3401.2312
7321 -11.2586 -3358.6488 -3427.8781
36961 -11.2026 -3369.4246 -3384.6478
37721 -11.2240 -3354.1898 -3379.8859
9601 -11.2365 -3395.5651 -3404.0956
30121 -11.3006 -3352.0179 -3416.0674
33161 -11.3250 -3384.4807 -3391.1581
