ligand host complex
11881 -4.8478 -2885.9359 -2948.7789
27081 -4.9109 -2907.2430 -2901.2629
8081 -4.8036 -2894.2455 -2885.9899
24801 -4.7789 -2906.5965 -2883.4363
29361 -4.8396 -2896.0751 -2912.8748
11121 -4.8584 -2893.6110 -2917.6880
17201 -4.8602 -2923.4823 -2936.7514
33921 -4.8848 -2900.4260 -2921.9906
14921 -4.7652 -2885.1412 -2905.7436
39241 -4.8566 -2893.2241 -2943.7161
27841 -4.7977 -2877.8983 -2935.0953
19481 -4.9271 -2887.3481 -2923.5668
25561 -4.9037 -2921.2600 -2901.2634
13401 -4.8364 -2862.7700 -2903.0256
36201 -4.9089 -2895.4417 -2945.1272
4281 -4.8994 -2883.8467 -2913.5385
35441 -4.8760 -2858.3698 -2897.5542
14161 -4.8748 -2913.3975 -2938.8587
5041 -5.0138 -2876.4551 -2939.9880
23281 -4.8726 -2853.9914 -2933.9400
3521 -4.8398 -2893.9017 -2928.0701
15681 -4.8593 -2851.7852 -2950.8412
28601 -4.6397 -2900.6754 -2919.8702
20241 -5.0288 -2899.7023 -2929.8794
34681 -4.7803 -2879.2499 -2911.0156
2001 -4.9158 -2909.7358 -2925.5251
32401 -4.8967 -2910.0792 -2912.4334
10361 -4.8090 -2916.1107 -2906.2198
26321 -4.9808 -2859.1355 -2973.3013
38481 -4.7311 -2928.2648 -2885.6052
30881 -4.7436 -2904.9453 -2913.1962
6561 -4.7086 -2945.4564 -2928.1973
17961 -4.7655 -2884.1656 -2905.0648
2761 -4.8758 -2918.1198 -2923.8004
18721 -4.7722 -2859.3877 -2898.6428
22521 -4.8572 -2852.7049 -2935.8369
24041 -4.8253 -2885.8546 -2920.3880
21761 -4.9354 -2872.4318 -2924.6934
5801 -4.9467 -2889.1920 -2873.7105
8841 -4.8951 -2898.8684 -2952.9571
21001 -4.6422 -2905.7743 -2912.4011
31641 -4.8632 -2899.2427 -2885.2888
12641 -4.6958 -2872.4087 -2877.1619
16441 -4.9185 -2873.9243 -2915.3036
7321 -4.6210 -2871.2403 -2947.1569
36961 -4.8511 -2887.6402 -2898.1566
37721 -4.9162 -2870.9721 -2881.2812
9601 -4.7313 -2921.3535 -2919.8046
30121 -4.7742 -2872.4803 -2934.6424
33161 -4.8001 -2909.5787 -2898.7315
