ligand host complex
11881 -8.4891 -3052.1493 -3084.1537
27081 -8.5027 -3046.2863 -3046.2441
8081 -8.5331 -3063.4750 -3047.7949
24801 -8.5419 -3036.2630 -3089.2651
29361 -8.5273 -3040.1270 -3067.0497
11121 -8.5201 -3028.3100 -3085.2721
17201 -8.5548 -3066.5596 -3087.0479
33921 -8.4980 -3061.3417 -3057.8592
14921 -8.4766 -3078.6445 -3078.8031
39241 -8.5482 -3048.5106 -3074.5829
27841 -8.4590 -3045.6495 -3087.9424
19481 -8.4891 -3035.1237 -3067.2574
25561 -8.5322 -3055.0518 -3082.8944
13401 -8.5341 -3018.9428 -3074.0805
36201 -8.5513 -3051.2399 -3088.1805
4281 -8.5932 -3035.8153 -3113.5217
35441 -8.4345 -3070.9012 -3056.1062
14161 -8.5183 -3024.7063 -3053.5317
5041 -8.5348 -3053.5710 -3071.4055
23281 -8.5835 -3032.5418 -3032.2233
3521 -8.5709 -3066.3527 -3085.8330
15681 -8.5000 -3057.8340 -3095.5907
28601 -8.4457 -3052.7587 -3079.9864
20241 -8.5603 -3039.3135 -3114.7620
34681 -8.5871 -3049.2482 -3082.7812
2001 -8.5212 -3059.3826 -3074.9610
32401 -8.5442 -3043.6825 -3081.4734
10361 -8.4895 -3044.2070 -3065.4352
26321 -8.5174 -3043.8612 -3085.6735
38481 -8.4820 -3054.6473 -3074.4178
30881 -8.5442 -3058.9291 -3106.6401
6561 -8.5322 -3056.0586 -3070.5528
17961 -8.5777 -3054.0992 -3074.8447
2761 -8.5396 -3056.7590 -3091.3876
18721 -8.4782 -3063.2350 -3060.9236
22521 -8.5194 -3039.9054 -3075.8357
24041 -8.4800 -3035.8688 -3095.8990
21761 -8.5549 -3018.0328 -3081.8914
5801 -8.5328 -3055.9980 -3088.0664
8841 -8.4869 -3045.5235 -3082.8928
21001 -8.5403 -3005.5493 -3062.8914
31641 -8.4528 -3083.8276 -3102.5077
12641 -8.5921 -3026.5258 -3068.5488
16441 -8.4993 -3042.1642 -3076.7202
7321 -8.4747 -3047.8759 -3104.2884
36961 -8.5538 -3084.7580 -3056.4377
37721 -8.4902 -3026.4355 -3061.3274
9601 -8.6087 -3074.5948 -3091.0371
30121 -8.5666 -3032.7691 -3063.7752
33161 -8.5376 -3056.8876 -3076.7492
