ligand host complex
11881 -11.2664 -3380.3435 -3415.9266
27081 -11.2889 -3374.9255 -3376.1229
8081 -11.3229 -3392.8549 -3376.8487
24801 -11.3517 -3365.0775 -3419.7809
29361 -11.3196 -3367.9500 -3397.4112
11121 -11.3211 -3356.3603 -3415.5239
17201 -11.3666 -3395.5679 -3417.9497
33921 -11.2623 -3389.6244 -3387.7870
14921 -11.2436 -3405.4252 -3408.9790
39241 -11.3583 -3376.6723 -3405.7652
27841 -11.2312 -3373.9488 -3418.4656
19481 -11.2738 -3363.7040 -3397.0510
25561 -11.3366 -3384.8665 -3414.6943
13401 -11.3259 -3346.0057 -3403.9066
36201 -11.3522 -3378.7662 -3417.5879
4281 -11.4167 -3363.3645 -3444.3377
35441 -11.1949 -3398.5254 -3388.0349
14161 -11.3132 -3352.4375 -3383.3096
5041 -11.3466 -3383.5077 -3403.1563
23281 -11.3924 -3360.6914 -3363.8181
3521 -11.3780 -3394.9842 -3416.9819
15681 -11.2706 -3387.3828 -3426.5564
28601 -11.2103 -3381.4553 -3409.5368
20241 -11.3601 -3367.9167 -3445.1997
34681 -11.4119 -3377.4576 -3412.9009
2001 -11.3081 -3388.2467 -3405.2723
32401 -11.3377 -3373.4443 -3411.8743
10361 -11.2683 -3373.4026 -3394.9435
26321 -11.2971 -3373.1578 -3415.8946
38481 -11.2548 -3384.3873 -3405.6378
30881 -11.3430 -3388.1383 -3435.3313
6561 -11.3479 -3384.2076 -3401.0765
17961 -11.3932 -3382.4396 -3405.1092
2761 -11.3513 -3384.1867 -3421.5268
18721 -11.2405 -3391.8132 -3392.0115
22521 -11.2922 -3368.1920 -3406.5305
24041 -11.2583 -3366.2009 -3426.4492
21761 -11.3587 -3345.9654 -3412.4913
5801 -11.3280 -3384.2873 -3419.5553
8841 -11.2427 -3373.9587 -3414.6045
21001 -11.3251 -3335.1961 -3395.1944
31641 -11.2158 -3412.3333 -3431.9119
12641 -11.4013 -3353.7871 -3398.6702
16441 -11.2856 -3370.1503 -3406.8292
7321 -11.2520 -3376.7630 -3433.6783
36961 -11.3521 -3413.6654 -3385.5749
37721 -11.2744 -3356.4652 -3391.4961
9601 -11.4266 -3402.0323 -3422.3910
30121 -11.3739 -3361.9834 -3394.5418
33161 -11.3333 -3385.3623 -3407.7682
