ligand host complex
11881 -5.0903 -2897.0364 -2931.6470
27081 -5.0471 -2893.5332 -2879.6116
8081 -5.1284 -2921.2236 -2885.0631
24801 -4.9813 -2879.6753 -2937.8854
29361 -5.1047 -2883.6710 -2905.0437
11121 -5.0780 -2869.5219 -2931.2854
17201 -5.1145 -2917.4677 -2930.2046
33921 -5.0772 -2910.4862 -2895.3222
14921 -5.0366 -2934.4058 -2923.4629
39241 -5.0379 -2896.2332 -2922.8518
27841 -5.0095 -2890.6542 -2938.5737
19481 -5.0719 -2876.2595 -2907.1900
25561 -4.9505 -2905.9813 -2932.0310
13401 -4.9986 -2859.6724 -2915.8239
36201 -5.0344 -2895.9472 -2936.6234
4281 -4.9356 -2886.8725 -2963.8809
35441 -5.0161 -2924.7427 -2896.8562
14161 -5.0444 -2865.6227 -2891.1177
5041 -4.9397 -2906.5760 -2916.9086
23281 -5.0600 -2875.1446 -2869.4597
3521 -5.0464 -2917.5333 -2933.6300
15681 -5.1443 -2906.8256 -2942.7238
28601 -5.0648 -2902.6947 -2921.6509
20241 -4.9355 -2889.4933 -2964.8910
34681 -4.9742 -2897.3641 -2924.0838
2001 -5.0871 -2905.3337 -2917.9472
32401 -5.1095 -2893.0933 -2930.9896
10361 -5.0765 -2894.9833 -2912.7869
26321 -5.0898 -2894.6009 -2932.3998
38481 -4.9894 -2911.0173 -2922.2000
30881 -5.0486 -2910.7615 -2958.5895
6561 -4.9000 -2905.7689 -2917.8938
17961 -5.1047 -2907.1646 -2916.0299
2761 -4.9787 -2907.4351 -2937.0745
18721 -5.0298 -2916.2324 -2902.6464
22521 -5.1539 -2883.9145 -2920.1919
24041 -5.0024 -2885.6039 -2943.4111
21761 -5.0805 -2854.9329 -2928.5868
5801 -5.0263 -2905.1725 -2934.1629
8841 -5.1325 -2891.9601 -2935.4539
21001 -5.0777 -2846.8660 -2909.3422
31641 -5.0161 -2937.3205 -2953.3470
12641 -5.1221 -2869.0709 -2908.3973
16441 -4.9270 -2886.5396 -2920.3503
7321 -5.0096 -2897.3409 -2953.9059
36961 -5.0701 -2938.8145 -2895.1867
37721 -5.0200 -2870.5546 -2901.1826
9601 -5.0543 -2927.1743 -2944.3473
30121 -4.9830 -2878.4701 -2903.0119
33161 -5.0265 -2910.1668 -2923.4835
