ligand host complex
11881 -2.9595 -2273.2408 -2298.1617
27081 -2.9548 -2267.9616 -2264.7815
8081 -2.9440 -2282.6715 -2266.6485
24801 -2.9689 -2255.8942 -2306.6947
29361 -2.9435 -2262.3951 -2283.8841
11121 -2.9375 -2246.7958 -2300.7857
17201 -2.9359 -2286.3377 -2302.6760
33921 -2.9617 -2279.5498 -2272.5283
14921 -2.9725 -2303.2783 -2292.7669
39241 -2.9571 -2269.1261 -2289.9355
27841 -2.9655 -2267.6159 -2302.1694
19481 -2.9574 -2255.4716 -2285.4459
25561 -2.9753 -2272.9074 -2295.8432
13401 -2.9602 -2241.8634 -2290.7637
36201 -2.9312 -2272.3808 -2304.4359
4281 -2.9605 -2256.9434 -2331.8954
35441 -2.9892 -2292.4610 -2268.5393
14161 -2.9374 -2244.7001 -2269.2550
5041 -2.9619 -2270.2448 -2283.6996
23281 -2.9495 -2252.5306 -2245.7402
3521 -2.9301 -2287.2886 -2300.6876
15681 -2.9718 -2279.1857 -2311.3559
28601 -2.9537 -2272.7126 -2296.7919
20241 -2.9373 -2258.5512 -2333.2878
34681 -2.9408 -2267.1856 -2299.9500
2001 -2.9366 -2279.1406 -2290.9089
32401 -2.9534 -2260.1465 -2297.6256
10361 -2.9820 -2263.6244 -2282.5597
26321 -2.9696 -2262.0053 -2303.3340
38481 -2.9463 -2270.8133 -2288.5598
30881 -2.9778 -2277.8720 -2327.2758
6561 -2.9704 -2277.8687 -2285.9591
17961 -2.9463 -2274.4661 -2292.8491
2761 -2.9490 -2277.0838 -2305.9264
18721 -2.9341 -2284.6082 -2275.4810
22521 -2.9808 -2261.2753 -2293.4152
24041 -2.9489 -2250.8367 -2312.8964
21761 -2.9546 -2240.4415 -2298.0578
5801 -2.9656 -2275.6184 -2305.6049
8841 -2.9621 -2265.4003 -2294.9865
21001 -2.9744 -2223.2085 -2273.8191
31641 -2.9554 -2306.3432 -2320.4251
12641 -2.9381 -2250.9207 -2286.2956
16441 -2.9461 -2262.3537 -2293.3673
7321 -2.9654 -2267.0343 -2322.9651
36961 -2.9336 -2307.2256 -2276.9517
37721 -2.9481 -2242.5395 -2277.1621
9601 -2.9213 -2297.2890 -2306.1485
30121 -2.9739 -2251.1175 -2279.3680
33161 -2.9788 -2275.2514 -2291.6917
