ligand host complex
11881 -9.2815 -3040.2476 -3086.5736
27081 -9.4565 -3055.2463 -3097.6659
8081 -9.3788 -3063.4934 -3110.3298
24801 -9.3745 -3050.6644 -3092.6015
29361 -9.3048 -3044.8572 -3080.6658
11121 -9.3556 -3075.4988 -3089.6354
17201 -9.3091 -3044.8428 -3067.9192
33921 -9.2570 -3086.5798 -3109.9630
14921 -9.2946 -3040.3168 -3097.8692
39241 -9.3279 -3024.6373 -3085.1443
27841 -9.2612 -3062.0621 -3094.3839
19481 -9.3405 -3049.6527 -3076.5857
25561 -9.2773 -3052.5414 -3083.1278
13401 -9.3340 -3078.5224 -3059.8708
36201 -9.2758 -3054.9767 -3116.0152
4281 -9.3371 -3054.3859 -3066.6907
35441 -9.4381 -3036.0523 -3113.5564
14161 -9.3859 -3067.1999 -3101.0139
5041 -9.2862 -3050.9842 -3113.5617
23281 -9.4928 -3069.3485 -3061.7883
3521 -9.3298 -3066.1354 -3090.6538
15681 -9.3455 -3033.3808 -3077.2532
28601 -9.2858 -3056.5980 -3088.7287
20241 -9.3437 -3050.3855 -3102.2269
34681 -9.3830 -3065.3492 -3073.3966
2001 -9.2796 -3035.7958 -3112.9842
32401 -9.3772 -3082.0602 -3092.1983
10361 -9.3322 -3051.2382 -3086.4588
26321 -9.3645 -3077.5898 -3102.7039
38481 -9.3165 -3059.8436 -3110.9578
30881 -9.2977 -3060.1983 -3072.7454
6561 -9.2644 -3069.8168 -3082.9005
17961 -9.3215 -3060.9616 -3095.4844
2761 -9.3190 -3083.8045 -3120.4479
18721 -9.3919 -3058.4279 -3064.2852
22521 -9.3090 -3074.7227 -3090.5756
24041 -9.3426 -3062.2520 -3096.9451
21761 -9.4289 -3065.8993 -3089.7478
5801 -9.3507 -3056.9615 -3066.4883
8841 -9.2737  -3090.4802
21001 -9.3077 -3029.8685 -3095.4158
31641 -9.3003 -3069.7837 -3066.6334
12641 -9.3523 -3057.6735 -3107.2514
16441 -9.3488 -3029.9273 -3056.1563
7321 -9.2802 -3066.0814 -3066.8359
36961 -9.3846 -3031.5847 -3090.9673
37721 -9.3408 -3079.4493 -3100.4434
9601 -9.3395 -3035.0521 -3096.2526
30121 -9.3281 -3032.3642 -3084.3399
33161 -9.3390 -3061.9329 -3100.0574
