ligand host complex
11881 -5.6802 -2885.9867 -2928.6486
27081 -5.3053 -2896.7097 -2940.7949
8081 -5.4355 -2916.7469 -2962.8877
24801 -5.5214 -2898.6629 -2935.1119
29361 -5.5175 -2896.7410 -2919.7704
11121 -5.3025 -2924.8308 -2936.3189
17201 -5.5583 -2890.9191 -2908.2964
33921 -5.7274 -2937.4748 -2956.2080
14921 -5.5934 -2884.1026 -2948.4236
39241 -5.5245 -2868.6703 -2924.7212
27841 -5.7652 -2911.7961 -2937.5557
19481 -5.4230 -2893.3887 -2925.3469
25561 -5.6665 -2897.6236 -2931.7110
13401 -5.6930 -2934.4118 -2899.3480
36201 -5.6309 -2902.1175 -2963.9040
4281 -5.6717 -2908.4711 -2913.0639
35441 -5.5502 -2879.4351 -2960.1725
14161 -5.4476 -2917.1914 -2947.5778
5041 -5.6681 -2904.2167 -2960.3111
23281 -5.2991 -2918.9740 -2903.4608
3521 -5.7009 -2919.8773 -2933.7503
15681 -5.5113 -2871.6687 -2919.5033
28601 -5.3312 -2907.3179 -2932.6676
20241 -5.6602 -2891.4834 -2951.1502
34681 -5.3981 -2919.7684 -2915.4524
2001 -5.5588 -2879.5350 -2959.5472
32401 -5.4595 -2934.1879 -2938.1080
10361 -5.5343 -2894.1478 -2937.4274
26321 -5.7206 -2930.3945 -2945.7312
38481 -5.6165 -2909.6371 -2960.3463
30881 -5.3519 -2907.3026 -2913.0141
6561 -5.5517 -2916.0689 -2920.3465
17961 -5.7370 -2910.4843 -2941.2971
2761 -5.7108 -2935.9344 -2968.0504
18721 -5.5866 -2903.5872 -2909.2551
22521 -5.5884 -2928.4046 -2930.2702
24041 -5.6031 -2911.3037 -2946.6555
21761 -5.4775 -2912.6686 -2936.3683
5801 -5.7136 -2907.1680 -2901.2227
8841 -5.6691  -2936.1734
21001 -5.6892 -2875.5299 -2940.9435
31641 -5.7000 -2922.0606 -2906.3377
12641 -5.6068 -2908.5820 -2957.4838
16441 -5.6034 -2873.6438 -2895.7622
7321 -5.6769 -2910.8731 -2906.4370
36961 -5.2528 -2879.9855 -2938.6472
37721 -5.6362 -2929.4531 -2945.7747
9601 -5.7944 -2878.6391 -2945.6752
30121 -5.7270 -2880.7398 -2928.6070
33161 -5.8283 -2909.3324 -2941.5952
