ligand host complex
11881 -26.0636 -4733.0144 -4798.7091
27081 -27.1192 -4750.6535 -4804.5662
8081 -26.8078 -4756.7592 -4820.2960
24801 -26.4754 -4745.4509 -4799.6872
29361 -26.3082 -4742.3999 -4787.2288
11121 -26.4570 -4761.5040 -4792.8870
17201 -26.5627 -4736.6565 -4779.6599
33921 -26.2340 -4775.8600 -4810.6624
14921 -27.0742 -4736.4465 -4805.7825
39241 -26.2068 -4719.8326 -4791.3615
27841 -26.0186 -4760.5414 -4803.4171
19481 -26.7747 -4741.3437 -4789.6927
25561 -26.2753 -4749.2930 -4791.6315
13401 -26.7748 -4773.4378 -4770.4486
36201 -25.9721 -4747.5603 -4823.1974
4281 -26.5383 -4749.6158 -4778.9940
35441 -27.1058 -4733.1034 -4819.6146
14161 -27.1319 -4760.2372 -4809.0618
5041 -26.2572 -4744.8059 -4823.0810
23281 -27.3705 -4758.5835 -4769.0608
3521 -26.5510 -4760.1466 -4802.4081
15681 -26.3883 -4719.6924 -4783.5767
28601 -26.3097 -4750.9695 -4796.2111
20241 -26.6639 -4744.1286 -4813.3545
34681 -27.0092 -4758.5420 -4781.3446
2001 -26.6052 -4733.0724 -4818.5497
32401 -26.2612 -4775.8286 -4801.3709
10361 -26.2834 -4742.0845 -4796.5995
26321 -26.5363 -4770.4058 -4807.0819
38481 -26.3029 -4753.8005 -4818.6324
30881 -25.9664 -4756.5025 -4783.8129
6561 -25.7409 -4759.0048 -4791.8483
17961 -26.2104 -4754.8110 -4808.1298
2761 -26.0076 -4776.0145 -4824.3668
18721 -27.0785 -4750.9249 -4772.6058
22521 -26.4564 -4769.1500 -4800.5202
24041 -26.6824 -4753.0226 -4805.8421
21761 -26.8835 -4757.9062 -4799.5159
5801 -26.6255 -4745.1616 -4768.0870
8841 -25.9325  -4799.8257
21001 -26.4092 -4722.1299 -4801.2549
31641 -26.3541 -4765.7667 -4778.4235
12641 -26.8113 -4743.1001 -4816.5144
16441 -26.7841 -4725.4584 -4766.5697
7321 -26.4362 -4758.3684 -4778.7968
36961 -26.8512 -4729.3061 -4791.3900
37721 -26.8954 -4770.9648 -4805.2219
9601 -26.4143 -4732.2347 -4803.9653
30121 -26.7651 -4726.0753 -4794.3368
33161 -26.3095 -4756.1245 -4807.5450
