ligand host complex
11881 -9.7070 -3021.1181 -3077.4795
27081 -9.8789 -3074.1117 -3064.9600
8081 -9.8201 -3022.1236 -3070.9670
24801 -9.8363 -3016.7373 -3074.8826
29361 -9.7270 -3069.5876 -3091.9571
11121 -9.8441 -3051.4154 -3094.4146
17201 -9.7344 -3047.9786 -3102.4331
33921 -9.7414 -3054.6395 -3084.5843
14921 -9.8849  -3070.6278
39241 -9.8963 -3084.2095 -3100.8062
27841 -9.9345 -3048.8385 -3093.9400
19481 -9.7609 -3060.8782 -3101.7957
25561 -9.7461 -3045.7217 -3068.2394
13401 -9.6467 -3040.1298 -3061.6012
36201 -9.9249 -3092.5752 -3099.7506
4281 -9.9536 -3044.6917 -3088.2424
35441 -9.7429 -3054.2844 -3069.7971
14161 -9.7553 -3084.6565 -3120.1277
5041 -9.8285 -3036.1101 -3092.2390
23281 -9.9082 -3061.1141 -3097.9263
3521 -9.9467 -3013.0241 -3073.8206
15681 -9.7248 -3047.2598 -3080.7682
28601 -9.7794 -3032.5072 -3124.5944
20241 -9.9596 -3067.9163 -3075.5818
34681 -9.8354 -3037.9729 -3052.8907
2001 -9.9425 -3070.2025 -3088.1691
32401 -9.8657 -3060.7600 -3100.3505
10361 -9.8139 -3069.5780 -3074.6467
26321 -9.8588 -3032.2551 -3101.4927
38481 -9.9170 -3064.3700 -3065.0260
30881 -9.6600 -3042.6182 -3077.4420
6561 -9.9040 -3070.1105 -3100.6252
17961 -9.8061 -3069.7860 -3082.1508
2761 -9.8621 -3066.2952 -3087.2641
18721 -9.7856 -3040.7509 -3096.9708
22521 -9.8647 -3039.7356 -3105.5796
24041 -9.7178 -3049.0816 -3042.5101
21761 -9.8656 -3032.3229 -3065.3893
5801 -9.9087 -3060.2516 -3079.3419
8841 -9.7351 -3055.8714 -3097.0479
21001 -9.7621 -3066.2699 -3080.8485
31641 -9.7834 -3044.2003 -3086.2610
12641 -9.7435 -3037.0651 -3071.0334
16441 -9.7828 -3030.9211 -3115.8295
7321 -9.9331 -3034.3032 -3088.1967
36961 -9.8001 -3055.8908 -3069.2873
37721 -9.7794 -3037.3632 -3094.2523
9601 -9.8489 -3056.8561 -3055.8703
30121 -9.7681 -3064.3856 -3048.0934
33161 -9.7701 -3061.1555 -3065.9613
