ligand host complex
11881 -5.8981 -2860.9348 -2908.9045
27081 -6.4548 -2928.4712 -2910.2632
8081 -6.0183 -2863.0317 -2915.6550
24801 -6.1700 -2861.9020 -2915.8883
29361 -5.9104 -2918.2386 -2935.7836
11121 -6.1241 -2893.9156 -2941.6579
17201 -6.1240 -2892.7388 -2947.8377
33921 -6.1813 -2900.1101 -2924.1067
14921 -6.2294  -2914.9655
39241 -6.3595 -2938.9282 -2942.8116
27841 -6.4238 -2888.8946 -2936.7996
19481 -6.2837 -2908.6198 -2946.0967
25561 -6.1416 -2881.6649 -2912.5305
13401 -6.1120 -2889.5727 -2895.1345
36201 -6.2915 -2946.1123 -2943.6559
4281 -6.4402 -2888.2765 -2932.3842
35441 -6.0236 -2898.4324 -2908.9163
14161 -6.1244 -2943.5026 -2976.7821
5041 -6.4114 -2884.8850 -2945.3078
23281 -6.2864 -2912.3299 -2946.6215
3521 -6.4005 -2855.0738 -2912.6811
15681 -6.1932 -2893.5340 -2922.3561
28601 -6.3666 -2875.7794 -2973.7087
20241 -6.2706 -2915.4485 -2915.2849
34681 -6.5762 -2885.8452 -2888.5488
2001 -6.5565 -2919.1371 -2933.8765
32401 -6.2287 -2917.9744 -2950.8253
10361 -6.0069 -2915.6607 -2913.4752
26321 -6.3699 -2874.2894 -2948.6645
38481 -6.4152 -2912.4108 -2902.7260
30881 -6.0547 -2886.0574 -2922.6637
6561 -6.5604 -2921.8872 -2944.5879
17961 -6.0082 -2924.8865 -2919.0795
2761 -6.4944 -2913.9209 -2928.1912
18721 -6.1698 -2884.9915 -2945.2066
22521 -6.1957 -2888.5564 -2955.5204
24041 -6.0555 -2900.2539 -2879.6478
21761 -6.3074 -2881.3708 -2904.5851
5801 -6.2825 -2910.8860 -2921.7290
8841 -6.0639 -2905.3196 -2941.3510
21001 -6.0685 -2919.3948 -2927.8076
31641 -6.0859 -2888.3569 -2926.2026
12641 -6.0236 -2883.7313 -2915.2134
16441 -6.1051 -2868.4940 -2966.3809
7321 -6.5321 -2883.7739 -2931.6071
36961 -6.0087 -2903.9676 -2911.8502
37721 -6.0126 -2880.4199 -2942.0503
9601 -6.0789 -2904.5237 -2893.9094
30121 -6.0000 -2916.2379 -2889.3294
33161 -6.1361 -2908.1081 -2911.5003
