ligand host complex
11881 -3.5279 -2237.2708 -2293.1018
27081 -3.6000 -2294.6270 -2281.2701
8081 -3.5814 -2241.7919 -2284.8409
24801 -3.5665 -2235.4944 -2287.6511
29361 -3.5321 -2290.6900 -2308.5562
11121 -3.5864 -2271.6117 -2306.9358
17201 -3.5697 -2267.9880 -2318.8020
33921 -3.5986 -2273.0748 -2300.1318
14921 -3.5642  -2284.2098
39241 -3.5894 -2309.0602 -2315.2236
27841 -3.6011 -2271.1703 -2310.7779
19481 -3.6816 -2282.0522 -2318.2659
25561 -3.5686 -2265.8581 -2284.8946
13401 -3.5336 -2258.3745 -2278.2178
36201 -3.6043 -2316.5857 -2316.0304
4281 -3.6670 -2265.6872 -2306.5245
35441 -3.5480 -2276.7135 -2283.2608
14161 -3.6078 -2303.8353 -2334.5566
5041 -3.6432 -2257.1561 -2305.8905
23281 -3.6079 -2281.0271 -2315.0223
3521 -3.6422 -2231.4148 -2292.3339
15681 -3.5712 -2265.2363 -2296.1984
28601 -3.5890 -2253.2366 -2344.1559
20241 -3.6311 -2292.4937 -2292.8681
34681 -3.6768 -2256.0216 -2264.4181
2001 -3.6796 -2291.2856 -2303.3316
32401 -3.6163 -2278.9519 -2316.1213
10361 -3.5813 -2288.5061 -2290.9320
26321 -3.6764 -2254.8218 -2317.3833
38481 -3.5926 -2284.8250 -2283.2790
30881 -3.5130 -2265.6832 -2295.5395
6561 -3.6250 -2290.5149 -2320.9116
17961 -3.5467 -2290.1297 -2300.1194
2761 -3.6571 -2287.0786 -2301.2800
18721 -3.5741 -2258.3089 -2310.4763
22521 -3.6112 -2260.4883 -2321.4499
24041 -3.5514 -2269.0240 -2256.3782
21761 -3.6266 -2253.1362 -2281.6547
5801 -3.6242 -2277.3365 -2292.7557
8841 -3.5659 -2275.6072 -2312.9543
21001 -3.5180 -2287.8378 -2296.3845
31641 -3.5710 -2265.5355 -2304.4143
12641 -3.5697 -2258.2581 -2287.4176
16441 -3.6139 -2252.2422 -2336.0760
7321 -3.6298 -2255.1435 -2302.1083
36961 -3.5876 -2278.5478 -2286.0037
37721 -3.5497 -2255.2844 -2309.8085
9601 -3.6182 -2275.4173 -2270.7963
30121 -3.5624 -2282.3706 -2262.4744
33161 -3.6008 -2282.4912 -2282.1583
