ligand host complex
11881 -27.4380 -4722.3383 -4788.4121
27081 -27.6339 -4764.4599 -4771.4248
8081 -28.3646 -4716.0717 -4782.1420
24801 -27.9172 -4716.5175 -4792.5516
29361 -27.9185 -4762.5522 -4800.2893
11121 -28.2313 -4746.0006 -4806.5409
17201 -27.3812 -4741.6986 -4811.2445
33921 -27.3812 -4749.8712 -4795.0277
14921 -28.2746  -4785.6866
39241 -27.9600 -4775.1419 -4814.1654
27841 -27.7610 -4744.7299 -4801.9740
19481 -27.3453 -4754.0860 -4810.2913
25561 -27.6112 -4740.4140 -4770.8906
13401 -26.9108 -4735.5072 -4770.4151
36201 -28.1803 -4782.7044 -4810.0187
4281 -28.3763 -4735.9576 -4792.0121
35441 -27.7641 -4747.0021 -4786.1500
14161 -27.4049 -4775.9538 -4827.3029
5041 -27.3700 -4722.8884 -4799.9176
23281 -28.5548 -4754.2874 -4804.4336
3521 -28.1273 -4711.1473 -4777.9713
15681 -26.9990 -4742.3107 -4790.0242
28601 -27.0376 -4729.4534 -4830.6890
20241 -28.3423 -4756.1680 -4783.6975
34681 -27.2999 -4737.4082 -4770.4089
2001 -28.1948 -4763.7727 -4795.9552
32401 -27.9683 -4751.9411 -4809.3634
10361 -28.0582 -4767.3935 -4782.3680
26321 -28.0745 -4725.5087 -4803.9569
38481 -27.9727 -4758.3274 -4773.8988
30881 -26.9911 -4730.2951 -4781.6315
6561 -27.6127 -4756.9134 -4803.8421
17961 -27.9572 -4762.4670 -4793.4588
2761 -27.5689 -4760.4223 -4798.4876
18721 -27.4915 -4742.5756 -4805.0312
22521 -27.7377 -4733.0385 -4811.9904
24041 -27.5244 -4743.5375 -4756.3359
21761 -28.1629 -4722.7493 -4778.1027
5801 -28.3911 -4757.0522 -4790.0029
8841 -27.0862 -4748.5191 -4807.0373
21001 -27.6464 -4756.7399 -4790.9460
31641 -28.0607 -4736.9162 -4794.4729
12641 -27.9876 -4733.4840 -4780.2558
16441 -27.5512 -4724.4879 -4823.1211
7321 -27.9598 -4723.3470 -4803.2975
36961 -28.2093 -4744.3158 -4781.8620
37721 -27.5565 -4738.0594 -4802.8563
9601 -28.2352 -4755.8782 -4765.7865
30121 -28.1185 -4756.8545 -4763.2434
33161 -27.6666 -4753.0896 -4771.2212
