ligand host complex
11881 -7.6918 -3040.6006 -3084.7240
27081 -9.8789 -3061.0060 -3064.9600
8081 -7.5992 -3022.1236 -3070.9670
24801 -7.6331 -3016.7373 -3105.3022
29361 -7.6567 -3069.5876 -3091.9571
11121 -7.6765 -3042.7092 -3083.6027
17201 -7.6902 -3040.0905 -3103.4638
33921 -7.6416 -3046.0253 -3070.1354
14921 -7.6066 -3072.0449 -3070.6278
39241 -9.8963 -3084.2095 -3100.8062
27841 -7.6948 -3047.4918 -3100.1790
19481 -7.6644 -3060.8782 -3101.7957
25561 -9.7461 -3056.8336 -3068.2394
13401 -9.6467 -3040.1298 -3061.6012
36201 -9.9249 -3054.5126 -3077.6953
4281 -7.6687 -3074.7976 -3082.2540
35441 -7.6592 -3062.6801 -3069.7971
14161 -9.7553 -3063.3898 -3090.4123
5041 -7.6837 -3036.1101 -3074.4727
23281 -7.6644 -3061.1141 -3078.6728
3521 -7.5987 -3053.5644 -3086.3228
15681 -9.7248 -3047.2598 -3066.2098
28601 -9.7794 -3032.5072 -3081.5464
20241 -9.9596 -3067.9163 -3086.6651
34681 -9.8354 -3037.9729 -3069.3847
2001 -7.6413 -3075.6880 -3122.8298
32401 -7.6278 -3049.0139 -3100.3505
10361 -7.6597 -3069.5780 -3102.1366
26321 -7.6217 -3032.2551 -3073.8717
38481 -7.6830 -3064.3700 -3065.0260
30881 -7.6593 -3059.1045 -3100.1475
6561 -7.6240 -3045.8976 -3100.6252
17961 -7.6505 -3069.7860 -3074.5705
2761 -7.6370 -3049.0740 -3072.1777
18721 -9.7856 -3075.6916 -3093.7975
22521 -9.8647 -3070.3261 -3089.5078
24041 -9.7178 -3049.0816 -3042.5101
21761 -7.7210 -3032.3229 -3065.3893
5801 -9.9087 -3056.9485 -3079.3419
8841 -7.6341 -3093.9102 -3097.0479
21001 -9.7621 -3051.2701 -3080.8485
31641 -9.7834 -3057.1520 -3089.5105
12641 -9.7435 -3037.0651 -3071.0334
16441 -7.6560 -3030.9211 -3115.8295
7321 -7.6779 -3050.5937 -3089.8656
36961 -7.6514 -3055.8908 -3069.2873
37721 -9.7794 -3037.3632 -3094.2523
9601 -7.6596 -3059.1461 -3055.8703
30121 -9.7681 -3063.1059 -3048.0934
33161 -9.7701 -3071.8726 -3065.9613
