ligand host complex
11881 -10.3261 -3369.3601 -3415.2635
27081 -12.8955 -3388.9216 -3395.0747
8081 -10.1829 -3350.7256 -3401.9461
24801 -10.2304 -3345.4750 -3434.5560
29361 -10.2784 -3397.7554 -3422.2376
11121 -10.2955 -3370.4472 -3413.1090
17201 -10.3232 -3369.8617 -3433.8172
33921 -10.2478 -3372.7343 -3399.6850
14921 -10.2001 -3399.9175 -3401.2218
39241 -12.9228 -3410.7124 -3431.9738
27841 -10.3185 -3376.0914 -3430.1298
19481 -10.2793 -3389.1562 -3432.0219
25561 -12.7605 -3385.5324 -3398.1998
13401 -12.6132 -3369.0809 -3390.8549
36201 -12.9648 -3382.5945 -3409.4958
4281 -10.2887 -3402.6679 -3411.0273
35441 -10.2794 -3390.5872 -3401.9025
14161 -12.7603 -3391.2147 -3420.0072
5041 -10.3224 -3364.0322 -3404.0343
23281 -10.2920 -3389.9251 -3409.2113
3521 -10.1817 -3382.2607 -3416.3472
15681 -12.7105 -3377.4130 -3397.7708
28601 -12.7544 -3360.6851 -3411.4541
20241 -13.0123 -3394.6900 -3415.2667
34681 -12.8326 -3366.5355 -3399.9814
2001 -10.2525 -3404.2406 -3451.7177
32401 -10.2403 -3376.7367 -3431.2674
10361 -10.2670 -3398.6900 -3431.8995
26321 -10.2187 -3359.7019 -3401.8120
38481 -10.3157 -3392.8104 -3394.4872
30881 -10.2890 -3387.2875 -3429.9413
6561 -10.2294 -3372.0362 -3429.3397
17961 -10.2605 -3398.5983 -3405.0129
2761 -10.2536 -3379.0509 -3400.7394
18721 -12.7979 -3402.9897 -3423.8462
22521 -12.8811 -3397.3828 -3419.1263
24041 -12.7339 -3378.2720 -3373.5897
21761 -10.3794 -3360.3882 -3395.6172
5801 -12.9558 -3384.5431 -3411.5875
8841 -10.2378 -3420.9717 -3427.5677
21001 -12.7782 -3379.9362 -3412.0999
31641 -12.8160 -3383.8468 -3419.1704
12641 -12.7724 -3365.6028 -3400.5934
16441 -10.2745 -3358.0891 -3444.4213
7321 -10.3101 -3377.6519 -3419.0282
36961 -10.2592 -3383.0682 -3399.8618
37721 -12.7931 -3367.4585 -3425.0573
9601 -10.2733 -3386.4679 -3386.6129
30121 -12.8048 -3391.3123 -3378.8991
33161 -12.7906 -3399.9769 -3396.2870
