ligand host complex
11881 -3.9696 -2887.1032 -2925.3678
27081 -6.4548 -2910.4900 -2910.2632
8081 -4.1267 -2863.0317 -2915.6550
24801 -4.0763 -2861.9020 -2956.0822
29361 -4.0152 -2918.2386 -2935.7836
11121 -3.9774 -2887.3014 -2928.6731
17201 -4.0272 -2890.1420 -2949.4921
33921 -4.0516 -2888.0907 -2910.8515
14921 -4.0248 -2923.1782 -2914.9655
39241 -6.3595 -2938.9282 -2942.8116
27841 -3.9748 -2897.9593 -2948.0732
19481 -4.0431 -2908.6198 -2946.0967
25561 -6.1416 -2901.4416 -2912.5305
13401 -6.1120 -2889.5727 -2895.1345
36201 -6.2915 -2907.7389 -2924.9188
4281 -4.0479 -2922.1418 -2927.9272
35441 -3.9909 -2908.5005 -2908.9163
14161 -6.1244 -2913.3421 -2935.6581
5041 -3.9945 -2884.8850 -2908.9734
23281 -3.9789 -2912.3299 -2921.0412
3521 -4.1504 -2905.2906 -2938.3094
15681 -6.1932 -2893.5340 -2911.6329
28601 -6.3666 -2875.7794 -2931.0408
20241 -6.2706 -2915.4485 -2935.0804
34681 -6.5762 -2885.8452 -2912.2922
2001 -4.0071 -2925.8537 -2977.5100
32401 -3.9763 -2888.0725 -2950.8253
10361 -4.0815 -2915.6607 -2945.7462
26321 -4.0342 -2874.2894 -2912.8284
38481 -3.9932 -2912.4108 -2902.7260
30881 -3.9781 -2914.9529 -2947.6017
6561 -3.9918 -2889.0973 -2944.5879
17961 -4.0503 -2924.8865 -2920.7774
2761 -4.0184 -2900.1591 -2909.8024
18721 -6.1698 -2928.8330 -2941.4027
22521 -6.1957 -2922.0648 -2934.3372
24041 -6.0555 -2900.2539 -2879.6478
21761 -3.9321 -2881.3708 -2904.5851
5801 -6.2825 -2905.9307 -2921.7290
8841 -4.0132 -2952.1910 -2941.3510
21001 -6.0685 -2897.4919 -2927.8076
31641 -6.0859 -2908.5495 -2930.3801
12641 -6.0236 -2883.7313 -2915.2134
16441 -3.9675 -2868.4940 -2966.3809
7321 -4.0123 -2891.1712 -2933.8961
36961 -4.0527 -2903.9676 -2911.8502
37721 -6.0126 -2880.4199 -2942.0503
9601 -4.0060 -2906.0858 -2893.9094
30121 -6.0000 -2913.7790 -2889.3294
33161 -6.1361 -2923.8508 -2911.5003
