ligand host complex
11881 -2.4230 -2259.7200 -2301.3084
27081 -3.6000 -2281.0091 -2281.2701
8081 -2.4284 -2241.7919 -2284.8409
24801 -2.4445 -2235.4944 -2322.4739
29361 -2.4345 -2290.6900 -2308.5562
11121 -2.4076 -2262.7494 -2300.7559
17201 -2.4191 -2259.0770 -2322.5137
33921 -2.4644 -2269.3697 -2286.3092
14921 -2.4616 -2295.0442 -2284.2098
39241 -3.5894 -2309.0602 -2315.2236
27841 -2.4177 -2268.2901 -2318.2229
19481 -2.4422 -2282.0522 -2318.2659
25561 -3.5686 -2277.1578 -2284.8946
13401 -3.5336 -2258.3745 -2278.2178
36201 -3.6043 -2275.6715 -2290.2949
4281 -2.4262 -2298.6928 -2301.4517
35441 -2.4200 -2284.6038 -2283.2608
14161 -3.6078 -2285.1259 -2308.4891
5041 -2.4409 -2257.1561 -2292.2278
23281 -2.4336 -2281.0271 -2294.4678
3521 -2.4428 -2273.1208 -2304.7720
15681 -3.5712 -2265.2363 -2281.4786
28601 -3.5890 -2253.2366 -2298.9288
20241 -3.6311 -2292.4937 -2305.4333
34681 -3.6768 -2256.0216 -2284.7389
2001 -2.4114 -2298.4516 -2342.6075
32401 -2.4437 -2270.7087 -2316.1213
10361 -2.4230 -2288.5061 -2322.0689
26321 -2.4439 -2254.8218 -2292.9884
38481 -2.4310 -2284.8250 -2283.2790
30881 -2.4272 -2281.3648 -2319.1815
6561 -2.4433 -2268.6755 -2320.9116
17961 -2.4426 -2290.1297 -2291.5637
2761 -2.4293 -2265.5311 -2291.5824
18721 -3.5741 -2297.0038 -2311.4769
22521 -3.6112 -2292.8556 -2305.9192
24041 -3.5514 -2269.0240 -2256.3782
21761 -2.4395 -2253.1362 -2281.6547
5801 -3.6242 -2278.2514 -2292.7557
8841 -2.4207 -2317.4324 -2312.9543
21001 -3.5180 -2271.0213 -2296.3845
31641 -3.5710 -2279.9720 -2307.7035
12641 -3.5697 -2258.2581 -2287.4176
16441 -2.4220 -2252.2422 -2336.0760
7321 -2.4388 -2273.1428 -2307.6420
36961 -2.4154 -2278.5478 -2286.0037
37721 -3.5497 -2255.2844 -2309.8085
9601 -2.4207 -2280.6996 -2270.7963
30121 -3.5624 -2284.6094 -2262.4744
33161 -3.6008 -2293.7153 -2282.1583
