ligand host complex
11881 -24.2239 -4736.3797 -4797.4704
27081 -27.6339 -4754.2475 -4771.4248
8081 -23.1187 -4716.0717 -4782.1420
24801 -23.4038 -4716.5175 -4812.1323
29361 -23.8785 -4762.5522 -4800.2893
11121 -23.8426 -4734.8008 -4788.5321
17201 -24.0765 -4735.5799 -4812.3421
33921 -23.6250 -4735.4020 -4776.0796
14921 -23.3492 -4766.3980 -4785.6866
39241 -27.9600 -4775.1419 -4814.1654
27841 -23.9699 -4742.1650 -4808.5855
19481 -23.7012 -4754.0860 -4810.2913
25561 -27.6112 -4755.7303 -4770.8906
13401 -26.9108 -4735.5072 -4770.4151
36201 -28.1803 -4742.9356 -4786.8825
4281 -23.8060 -4766.6923 -4789.2801
35441 -23.9242 -4757.3998 -4786.1500
14161 -27.4049 -4754.7744 -4795.9491
5041 -24.2758 -4722.8884 -4779.1086
23281 -24.0703 -4754.2874 -4787.2124
3521 -23.1078 -4748.5814 -4793.5114
15681 -26.9990 -4742.3107 -4776.0419
28601 -27.0376 -4729.4534 -4783.6490
20241 -28.3423 -4756.1680 -4791.3158
34681 -27.2999 -4737.4082 -4779.1846
2001 -23.6834 -4770.5499 -4826.4676
32401 -23.7148 -4738.9758 -4809.3634
10361 -23.5492 -4767.3935 -4808.3073
26321 -23.4083 -4725.5087 -4779.3192
38481 -24.0747 -4758.3274 -4773.8988
30881 -24.1228 -4752.6137 -4809.0424
6561 -23.5074 -4737.0392 -4803.8421
17961 -23.6476 -4762.4670 -4783.3026
2761 -23.8051 -4744.1137 -4775.7000
18721 -27.4915 -4768.3951 -4799.0460
22521 -27.7377 -4760.6409 -4796.7008
24041 -27.5244 -4743.5375 -4756.3359
21761 -24.7889 -4722.7493 -4778.1027
5801 -28.3911 -4747.2586 -4790.0029
8841 -23.5702 -4783.1111 -4807.0373
21001 -27.6464 -4745.8600 -4790.9460
31641 -28.0607 -4747.7528 -4798.8626
12641 -27.9876 -4733.4840 -4780.2558
16441 -23.9271 -4724.4879 -4823.1211
7321 -24.0776 -4741.5423 -4794.2021
36961 -23.6411 -4744.3158 -4781.8620
37721 -27.5565 -4738.0594 -4802.8563
9601 -23.7451 -4749.4067 -4765.7865
30121 -28.1185 -4754.2075 -4763.2434
33161 -27.6666 -4766.0327 -4771.2212
